COD_CURSO;NOME_CURSO;NIVEL;TURNO;MODALIDADE;AREA_CONHECIMENTO;CAMPUS;DOC_AUTORIZACAO;DOC_RECONHECIMENTO;COD_EMEC
PL - EEI;Especialização em Educação Escolar Indígena;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL- GSE;Especialização em Gestão de Sistemas Educacionais;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;EDUCAÇÃO;Campus - Setor Norte;;;
PL- HEH;Especialização em Historiagrafia e Ensino de História;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;HISTÓRIA;Campus - Setor Norte;;;
PL-AFCP;Especialização em Administração Financeira e Contábil Pública;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO FINANCEIRA;Campus - Setor Norte;;;
PL-ALF;Especialização em Alfabetização;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;EDUCAÇÃO;Campus de Humaitá;;;
PL-AP;Especialização em Administração Pública;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO PÚBLICA;Campus - Setor Norte;;;
PL-APE;Especialização em Avaliações e Perícias de Engenharia;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIENCIAS EXATAS E DA TERRA;Campus - Setor Norte;;;
PL-APM;Especialização em Administração Pública Municipal;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO PÚBLICA;Campus - Setor Norte;;;
PL-ARH;Especialização em Administração de Recursos Humanos;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO;Campus - Setor Norte;;;
PL-BC;Especialização em Biologia da Conservação;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS BIOLÓGICAS;Campus de Humaitá;;;
PL-BE;Especialização em Biblioteca Escolar;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;BIBLIOTECONOMIA;Campus - Setor Norte;;;
PL-CP;Especialização em Coordenação Pedagógica;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;EDUCAÇÃO;Campus - Setor Norte;;;
PL-DENT;Especialização em Dentística;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS BIOLÓGICAS;Faculdade de Odontologia;;;
PL-DES;Especialização em Docência do Ensino Superior;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;EDUCAÇÃO;Campus de Parintins;;;
PL-DP;Especialização em Direito Público;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;DIREITO PÚBLICO;Campus - Setor Norte;;;
PL-EA;Especialização em Educação Ambiental;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS AGRÁRIAS;Campus - Setor Sul;;;
PL-EAEEES;Especialização em Educação Ambiental com ênfase em Espaços Educacionais Sustentáveis;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS AGRÁRIAS;Campus - Setor Sul;;;
PL-ECM;Especialização em Estratégia para Competitividade Empresarial;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-EDCAM;Especialização em Educação do Campo: Práticas Pedagógicas;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;EDUCAÇÃO;Campus - Setor Norte;;;
PL-EFEM;Especialização em Ensino de Filosofia para o Ensino Médio;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;FILOSOFIA;Campus - Setor Sul;;;
PL-EFO;Especialização em Educação Física em Ortopedia;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;EDUCAÇÃO FÍSICA;Centro de Esportes;;;
PL-EGI;Especialização em Engenharia e Gestão Industrial;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ENGENHARIAS;Campus - Setor Norte;;;
PL-EI;Especialização em Educação Infantil;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-EIAI;Especialização em Educação Especial: uma abordagem inclusiva;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-EMEM;Especialização em Ensino de Matemática para o Ensino Médio - EAD;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;MATEMÁTICA;Campus - Setor Norte;;;
PL-ENM;Especialização em Ensino de Matemática;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIENCIAS EXATAS E DA TERRA;Campus - Setor Norte;;;
PL-ENSMAT;Especialização em Ensino de Matemática;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIENCIAS EXATAS E DA TERRA;Campus de Parintins;;;
PL-EO;Especialização em Enfermagem Oncológica;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ENFERMAGEM;Escola de Enfermagem;;;
PL-EOB;Especialização em Enfermagem Obstétrica;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ENFERMAGEM OBSTÉTRICA;Escola de Enfermagem;;;
PL-EST;Especialização em Engenharia de Segurança do Trabalho;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIENCIAS EXATAS E DA TERRA;Campus - Setor Norte;;;
PL-ET;Especialização em Enfermagem do Trabalho;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS BIOLÓGICAS;Escola de Enfermagem;;;
PL-ÉTICA2;Especialização em Ética;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;FILOSOFIA;Campus - Setor Norte;;;
PL-EVP;Especialização em Engenharia de Avaliações e Perícias;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ENGENHARIAS;Campus - Setor Norte;;;
PL-FIH;Especialização em Fisiologia Humana;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;FISIOLOGIA;Campus - Setor Sul;;;
PL-GAB;Especialização em Geografia da Amazônia Brasileira;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;GEOGRAFIA;Campus - Setor Norte;;;
PL-GAE;Especialização em Gestão de Arquivos Empresariais;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-GAEM;Especialização em Gestão Ambiental Empresarial;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS AGRÁRIAS;Campus - Setor Norte;;;
PL-GA-PAA;Especialização em Gestão Ambiental, com ênfase em Perícia e Auditoria Ambiental;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO;Campus - Setor Sul;;;
PL-GECTR;Especialização em Gestão Contábil Tributária;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CONTABILIDADE E FINANÇAS PÚBLICAS;Campus - Setor Norte;;;
PL-GED;Especialização em Gestão da Educação (Benjamin Constant);Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-GEOP;Especialização em Geoprocessamento;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIENCIAS EXATAS E DA TERRA;Campus - Setor Norte;;;
PL-GERUS;Especialização em Gerência de Unidades Básicas de Saúde-GERUS;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS BIOLÓGICAS;Faculdade de Ciências Farmacêuticas;;;
PL-GES;Especialização em Gestão Escolar;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-GFE-E;Especialização em Gerência Financeira Empresarial;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO;Campus - Setor Norte;;;
PL-GLEM;Especialização em Gestão de Logística Empresarial;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIENCIAS EXATAS E DA TERRA;Campus - Setor Sul;;;
PL-GP;Especialização em Gestão Pública;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Sul;;;
PL-GPC;Especialização em Gestão e Planejamento Contábil Tributário;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CONTABILIDADE E FINANÇAS PÚBLICAS;Campus - Setor Norte;;;
PL-GPP;Especialização em Gestão das Políticas Públicas;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO;Campus - Setor Norte;;;
PL-GS;Especialização em Gestão em Saúde;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Sul;;;
PL-HEH;Especialização em  Historiografia e Ensino de História;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-HEMO;Especialização em Hemoterapia;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS BIOLÓGICAS;Faculdade de Medicina;;;
PL-LING;Especialização em Linguística;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-LL;Especialização em Língua Inglesa;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;LÍNGUAS ESTRANGEIRAS MODERNAS;Campus - Setor Norte;;;
PL-LPEPT;Especialização em Língua Portuguesa com Ênfase em Produção Textual;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-MAE;Especialização em Marketing Empresarial;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-MAT;Especialização em Matemática;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIENCIAS EXATAS E DA TERRA;Campus - Setor Norte;;;
PL-MBA-EPE;MBA em Engenharia de Produção em ênfase na indústria 4.0;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ENGENHARIAS;Campus - Setor Norte;;;
PL-MELI;Especialização em Metodologia do Ensino da Língua Inglesa;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-MES-PRT;Especialização em Metodologia do Ensino Superior - Parintins;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;EDUCAÇÃO;Campus de Parintins;;;
PL-MGMU;Especialização em MBA Gestão em Mobilidade Urbana;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO;Campus - Setor Norte;;;
PL-MGO;MBA Executivo: Gestão de Organizações - Operações e Serviços;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO;Campus - Setor Norte;;;
PL-MGS;MBA em Gestão em Serviços de Saúde;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ADMINISTRAÇÃO;Campus - Setor Norte;;;
PL-MT;Especialização em Medicina do Trabalho;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS DA SAÚDE;Faculdade de Medicina;;;
PL-MUS;Especialização em Museologia;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS HUMANAS;Campus - Setor Norte;;;
PL-ORT;Especialização em Ortodontia;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ORTODONTIA;Faculdade de Odontologia;;;
PL-PLPP;Especialização em Poder Legislativo e Políticas Públicas;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;DIREITO;Campus - Setor Norte;;;
PL-PMD;Especialização em Produção de Material Didático para EAD;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;AGROPECUÁRIA E PESCA;Campus - Setor Norte;;;
PL-PSM-TJ;Especialização em Psicomotricidade Através do Uso de Técnicas de Jogos Cooperativos;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS BIOLÓGICAS;Centro de Esportes;;;
PL-SA;Especialização em Saneamento Ambiental;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;SANEAMENTO AMBIENTAL;Campus - Setor Norte;;;
PL-SAVUE;Especialização em Suporte Avançado de Vida - Urg. e Emergência;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS DA SAÚDE;Escola de Enfermagem;;;
PL-SEM;Especialização em Supervisão Educacional (Maués);Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;EDUCAÇÃO;Campus - Setor Norte;;;
PL-SF;Especialização em Saúde da Família;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS DA SAÚDE;Escola de Enfermagem;;;
PL-SF-EAD;Especialização em Saúde da Família - EAD;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIÊNCIAS DA SAÚDE;Faculdade de Medicina;;;
PL-SFN;Especialização em Saúde da Família e Nutrição;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;SAÚDE PÚBLICA;Faculdade de Medicina;;;
PL-SPSI;Espec. em Saúde Pública com enfoque em Saúde Indígena (São Gabriel da Cachoeira);Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;ENFERMAGEM DE SAÚDE PÚBLICA;Escola de Enfermagem;;;
PL-SVT-E;Especialização em Sistemas de Vídeo e Tecnologia LCD, TFT e Plasma;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;SISTEMAS DE TELECOMUNICAÇÕES;Campus - Setor Norte;;;
PL-TDGN;Especialização em Tecnologias de Distribuição de Gás Natural;Pós-Graduação Lato Sensu;Integral (Matutino e Vespertino);Especialização;CIENCIAS EXATAS E DA TERRA;Campus - Setor Norte;;;
