COD_DISCIPLINA;NOME_DISCIPLINA;CREDITOS;CH_TEORICA;CH_PRATICA;CH_TOTAL
FEN024;LIBRAS;4;60;;60
IHE003;COMPREENSÃO DE TEXTOS EM LINGUA ESPANHOLA I;4;60;;60
IHE130;INGLÊS INSTRUMENTAL I;4;60;;60
IHP184;LÍNGUA PORTUGUESA I;4;60;;60
FAA001;TEORIA DE ADMINISTRACÃO I;4;60;;60
FAA082;GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO;4;60;;60
FAA085;COMPORTAMENTO HUMANO NAS ORGANIZAÇÕES;4;60;;60
FAA206;GESTÃO DA INOVAÇÃO;4;60;;60
FAE101;INTRODUCÃO À ECONOMIA A;4;60;;60
FAA002;TEORIA DA ADMINISTRACAO II;4;60;;60
FAA103;EMPREENDEDORISMO;4;60;;60
FAA207;ÉTICA E RESPONSABILIDADE SOCIAL;4;60;;60
FAC044;ELEMENTOS DE CONTABILIDADE;4;60;;60
IEM075;CÁLCULO DIFERENCIAL E INTEGRAL I;4;60;;60
FAA006;MÉTODOS QUANTITATIVOS FINANCEIROS;4;60;;60
FAA059;METODOLOGIA DA PESQUISA;4;60;;60
FAA208;GESTÃO DE MARKETING I;4;60;;60
FDU002;INSTITUICÃO DE DIREITO PUBLICO E PRIVADO;4;60;;60
IEE092;ESTATISTICA A;4;60;;60
FAA209;GESTÃO DE MARKETING II;4;60;;60
FAA210;GESTÃO DAS RELAÇÕES TRABALHISTAS;4;60;;60
FAA217;GESTÃO DA PRODUÇÃO E OPERAÇÕES;4;60;;60
FAE144;ECONOMIA BRASILEIRA CONTEMPORÂNEA A;4;60;;60
IHS011;SOCIOLOGIA I;4;60;;60
FAA211;GESTÃO DE PESSOAS I;4;60;;60
FAA212;GESTÃO FINANCEIRA I;4;60;;60
FAA214;GESTÃO E PLANEJAMENTO TRIBUTÁRIO;4;60;;60
FAC092;ANÁLISE DAS DEMONSTRAÇÕES CONTÁBEIS PARA ADMINISTRAÇÃO;4;60;;60
IHS037;CIÊNCIA POLITICA;4;60;;60
FAA112;ESTRATÉGIA ORGANIZACIONAL;4;60;;60
FAA213;GESTÃO FINANCEIRA II;4;60;;60
FAA215;GESTÃO DE PESSOAS II;4;60;;60
FAA216;GESTÃO PÚBLICA;4;60;;60
FEP113;PSICOLOGIA, TRABALHO E GESTÃO;4;60;;60
FAA105;GESTÃO DE CUSTOS;4;60;;60
FAA218;GESTÃO DE PROCESSOS;4;60;;60
FAA219;GESTÃO SÓCIOAMBIENTAL;4;60;;60
FAA220;FINANÇAS PÚBLICAS;4;60;;60
FAA325;TRABALHO DE CONCLUSÃO DE CURSO I;4;60;;60
FAA104;ADMINISTRAÇÃO DE SERVIÇOS;4;60;;60
FAA222;GESTÃO DE PROJETOS;4;60;;60
FAA326;TRABALHO DE CONCLUSÃO DE CURSO II;4;60;;60
FAA072;ADMINISTRACAO DE CARGOS E SALARIOS;4;60;;60
FAA223;ESTRATÉGIA DE DESENVOLVIMENTO DO AMAZONAS;4;60;;60
FAA224;ORGANIZAÇÕES E TECNOLOGIAS;4;60;;60
FAA226;NEGÓCIOS INTERNACIONAIS;4;60;;60
FAA227;POLÍTICAS PÚBLICAS;4;60;;60
FAA228;MARKETING DIGITAL;4;60;;60
IHP123;LINGUA BRASILEIRA DE SINAIS B;4;60;;60
FAC046;TEORIA DA CONTABILIDADE;4;60;;60
FAC065;FUNDAMENTOS DA MICROECONOMIA;4;60;;60
FAC072;PESQUISA EM CIÊNCIAS CONTÁBEIS;4;60;;60
FAC001;CONTABILIDADE I;4;60;;60
FAC074;FUNDAMENTOS DE MACROECONOMIA;4;60;;60
IEC981;INTRODUCÃO AO PROCESSAMENTO DE DADOS;4;60;;60
IEM007;MATEMATICA APLICADA À CONTABILIDADE;4;60;;60
FAC002;CONTABILIDADE II;4;60;;60
FAC007;ORCAMENTO PÚBLICO;4;60;;60
FAC090;CONTABILIDADE E LEGISLAÇÃO COMERCIAL;4;60;;60
IEE003;ESTATISTICA APLICADA À CONTABILIDADE;4;60;;60
FAC003;CONTABILIDADE COMERCIAL I;4;60;;60
FAC009;CONTABILIDADE PÚBLICA;4;60;;60
FAC010;CONTABILIDADE DAS INSTITUICÕES FINANCEIRAS;4;60;;60
FAC019;SISTEMAS CONTÁBEIS DE INFORMAÇÃO;4;60;;60
FAC075;CONTABILIDADE E LEGISLAÇÃO SOCIAL;4;60;;60
FAC050;ÉTICA PROFISSIONAL DO CONTADOR E AUDITOR;4;60;;60
FAC071;CUSTOS NA ÁREA PÚBLICA;4;60;;60
FAC076;CONTABILIDADE AVANÇADA I;4;60;;60
FAC077;CONTABILIDADE DE CUSTOS;4;60;;60
FAC078;CONTABILIDADE TRIBUTÁRIA APLICADA I;4;60;;60
FAC079;CONTABILIDADE AVANÇADA II;4;60;;60
FAC080;GESTÃO ESTRATÉGICA DE CUSTOS;4;60;;60
FAC081;CONTABILIDADE TRIBUTÁRIA APLICADA II;4;60;;60
FAC082;CONTABILIDADE PARA O AGRONEGÓCIO;4;60;;60
FAC018;CONTABILIDADE GERENCIAL;4;60;;60
FAC054;CONTABILIDADE SOCIOAMBIENTAL;4;60;;60
FAC083;ANÁLISE DAS DEMONSTRAÇÕES CONTÁBEIS;4;60;;60
FAC084;CONTROLADORIA EMPRESARIAL;4;60;;60
FAC085;CONTROLADORIA GOVERNAMENTAL;4;60;;60
