COD_CURSO;COD_DISCIPLINA;NUM_VERSAO;DESCR_ESTRUTURA;PERIODO_IDEAL
EM01;EEM010;01/jan/19;OBRIGATÓRIAS;1
EM01;EMC029;01/jan/19;OBRIGATÓRIAS;1
EM01;EMS055;01/jan/19;OBRIGATÓRIAS;1
EM01;ENADE01;01/jan/19;OBRIGATÓRIAS;1
EM01;IBM004;01/jan/19;OBRIGATÓRIAS;1
EM01;IBM057;01/jan/19;OBRIGATÓRIAS;1
EM01;IEE006;01/jan/19;OBRIGATÓRIAS;1
EM01;IHS327;01/jan/19;OBRIGATÓRIAS;1
EM01;IHS409;01/jan/19;OBRIGATÓRIAS;1
FE02;FEF015;01/jan/19;OBRIGATÓRIAS;1
FE02;FEF016;01/jan/19;OBRIGATÓRIAS;1
FE02;FEF046;01/jan/19;OBRIGATÓRIAS;1
FE02;FET024;01/jan/19;OBRIGATÓRIAS;1
FE02;IHP184;01/jan/19;OBRIGATÓRIAS;1
FE03;FEF015;01/jan/19;OBRIGATÓRIAS;1
FE03;FEF016;01/jan/19;OBRIGATÓRIAS;1
FE03;FEF046;01/jan/19;OBRIGATÓRIAS;1
FE03;FET024;01/jan/19;OBRIGATÓRIAS;1
FE03;IHP184;01/jan/19;OBRIGATÓRIAS;1
FT06;ENADE01;01/jan/19;OBRIGATÓRIAS;1
FT06;FTL013;01/jan/19;OBRIGATÓRIAS;1
FT06;FTL021;01/jan/19;OBRIGATÓRIAS;1
FT06;IEM012;01/jan/19;OBRIGATÓRIAS;1
FT06;IEM075;01/jan/19;OBRIGATÓRIAS;1
FT06;IEQ614;01/jan/19;OBRIGATÓRIAS;1
FT06;IHS026;01/jan/19;OBRIGATÓRIAS;1
IH06;FET024;01/jan/19;OBRIGATÓRIAS;1
IH06;IHA001;01/jan/19;OBRIGATÓRIAS;1
IH06;IHF147;01/jan/19;OBRIGATÓRIAS;1
IH06;IHS103;01/jan/19;OBRIGATÓRIAS;1
IH06;IHS135;01/jan/19;OBRIGATÓRIAS;1
IH08;FEF018;01/jan/19;OBRIGATÓRIAS;1
IH08;IHH166;01/jan/19;OBRIGATÓRIAS;1
IH08;IHH167;01/jan/19;OBRIGATÓRIAS;1
IH08;IHP123;01/jan/19;OBRIGATÓRIAS;1
IH08;IHS008;01/jan/19;OBRIGATÓRIAS;1
IH10;ENADE01;01/jan/19;OBRIGATÓRIAS;1
IH10;FET024;01/jan/19;OBRIGATÓRIAS;1
IH10;IHF037;01/jan/19;OBRIGATÓRIAS;1
IH10;IHS048;01/jan/19;OBRIGATÓRIAS;1
IH10;IHS049;01/jan/19;OBRIGATÓRIAS;1
IH10;IHS304;01/jan/19;OBRIGATÓRIAS;1
IH15;FEF018;01/jan/19;OBRIGATÓRIAS;1
IH15;FET024;01/jan/19;OBRIGATÓRIAS;1
IH15;FLI001;01/jan/19;OBRIGATÓRIAS;1
IH15;FLI002;01/jan/19;OBRIGATÓRIAS;1
IH15;IHE101;01/jan/19;OBRIGATÓRIAS;1
IH15;IHE111;01/jan/19;OBRIGATÓRIAS;1
IH20;FEF018;01/jan/19;OBRIGATÓRIAS;1
IH20;IHH166;01/jan/19;OBRIGATÓRIAS;1
IH20;IHH167;01/jan/19;OBRIGATÓRIAS;1
IH20;IHP123;01/jan/19;OBRIGATÓRIAS;1
IH20;IHS008;01/jan/19;OBRIGATÓRIAS;1
IH26;FET024;01/jan/19;OBRIGATÓRIAS;1
