ID_DISCENTE;COD_CURSO;ANO_INGRESSO;PERIODO_INGRESSO;FORMA_INGRESSO
14196;PL-GP;2018;2;
16729;PL-GP;2018;2;
18003;PL-GP;2018;2;
19418;PL-GP;2018;2;
20447;PL-GP;2018;2;
23837;PL-GP;2018;2;
24754;PL-GP;2018;2;
25174;PL-GP;2018;2;
26588;PL-GP;2018;2;
28602;PL-GP;2018;2;
30035;PL-GP;2018;2;
30507;PL-GP;2018;2;
31662;PL-GP;2018;2;
33692;PL-GP;2018;2;
37110;PL-GP;2018;2;
38023;PL-GP;2018;2;
38842;PL-GP;2018;2;
39625;PL-GP;2018;2;
43397;PL-GP;2018;2;
44545;PL-GP;2018;2;
44630;PL-GP;2018;2;
45886;PL-GP;2018;2;
45974;PL-GP;2018;2;
46840;PL-GP;2018;2;
47922;PL-GP;2018;2;
48924;PL-GP;2018;2;
49155;PL-GP;2018;2;
49804;PL-GP;2018;2;
50193;PL-GP;2018;2;
50200;PL-GP;2018;2;
51485;PL-GP;2018;2;
52422;PL-GP;2018;2;
52433;PL-GP;2018;2;
52458;PL-GP;2018;2;
52524;PL-GP;2018;2;
52531;PL-GP;2018;2;
52567;PL-GP;2018;2;
52661;PL-GP;2018;2;
52664;PL-GP;2018;2;
52721;PL-GP;2018;2;
52780;PL-GP;2018;2;
53902;PL-GP;2018;2;
55611;PL-GP;2018;2;
55624;PL-GP;2018;2;
56515;PL-GP;2018;2;
57003;PL-GP;2018;2;
58333;PL-GP;2018;2;
58615;PL-GP;2018;2;
59703;PL-GP;2018;2;
59893;PL-GP;2018;2;
60246;PL-GP;2018;2;
60297;PL-GP;2018;2;
60340;PL-GP;2018;2;
60364;PL-GP;2018;2;
61138;PL-GP;2018;2;
61145;PL-GP;2018;2;
62938;PL-GP;2018;2;
63169;PL-GP;2018;2;
64442;PL-GP;2018;2;
66060;PL-GP;2018;2;
69411;PL-GP;2018;2;
69719;PL-GP;2018;2;
70340;PL-GP;2018;2;
70344;PL-GP;2018;2;
70358;PL-GP;2018;2;
70366;PL-GP;2018;2;
70370;PL-GP;2018;2;
70382;PL-GP;2018;2;
70385;PL-GP;2018;2;
70386;PL-GP;2018;2;
70425;PL-GP;2018;2;
70527;PL-GP;2018;2;
70564;PL-GP;2018;2;
71899;PL-GP;2018;2;
71911;PL-GP;2018;2;
71912;PL-GP;2018;2;
71915;PL-GP;2018;2;
71920;PL-GP;2018;2;
71979;PL-GP;2018;2;
71981;PL-GP;2018;2;
71986;PL-GP;2018;2;
72004;PL-GP;2018;2;
72007;PL-GP;2018;2;
72051;PL-GP;2018;2;
72105;PL-GP;2018;2;
72107;PL-GP;2018;2;
72108;PL-GP;2018;2;
72109;PL-GP;2018;2;
72152;PL-GP;2018;2;
72631;PL-GP;2018;2;
73026;PL-GP;2018;2;
73826;PL-GP;2018;2;
74036;PL-GP;2018;2;
74186;PL-GP;2018;2;
74472;PL-GP;2018;2;
74859;PL-GP;2018;2;
76961;PL-GP;2018;2;
76963;PL-GP;2018;2;
76980;PL-GP;2018;2;
77054;PL-GP;2018;2;
77218;PL-GP;2018;2;
77226;PL-GP;2018;2;
78156;PL-GP;2018;2;
78664;PL-GP;2018;2;
84265;PL-GP;2018;2;
93069;PL-GP;2018;2;
96189;PL-GP;2018;2;
96192;PL-GP;2018;2;
96193;PL-GP;2018;2;
96195;PL-GP;2018;2;
96203;PL-GP;2018;2;
96205;PL-GP;2018;2;
96213;PL-GP;2018;2;
96220;PL-GP;2018;2;
96275;PL-GP;2018;2;
96338;PL-GP;2018;2;
96376;PL-GP;2018;2;
96428;PL-GP;2018;2;
96440;PL-GP;2018;2;
96809;PL-GP;2018;2;
96818;PL-GP;2018;2;
96834;PL-GP;2018;2;
96837;PL-GP;2018;2;
98165;PL-GP;2018;2;
98167;PL-GP;2018;2;
102375;PL-GP;2018;2;
105993;PL-GP;2018;2;
116380;PL-GP;2018;2;
127258;PL-GP;2018;2;
127343;PL-GP;2018;2;
127375;PL-GP;2018;2;
127384;PL-GP;2018;2;
127439;PL-GP;2018;2;
127488;PL-GP;2018;2;
127652;PL-GP;2018;2;
132876;PL-GP;2018;2;
133049;PL-GP;2018;2;
133050;PL-GP;2018;2;
133054;PL-GP;2018;2;
133057;PL-GP;2018;2;
133059;PL-GP;2018;2;
133062;PL-GP;2018;2;
133065;PL-GP;2018;2;
133068;PL-GP;2018;2;
133079;PL-GP;2018;2;
133082;PL-GP;2018;2;
133092;PL-GP;2018;2;
133094;PL-GP;2018;2;
133095;PL-GP;2018;2;
133096;PL-GP;2018;2;
133097;PL-GP;2018;2;
133098;PL-GP;2018;2;
133100;PL-GP;2018;2;
133101;PL-GP;2018;2;
133116;PL-GP;2018;2;
133117;PL-GP;2018;2;
133119;PL-GP;2018;2;
133121;PL-GP;2018;2;
133123;PL-GP;2018;2;
133124;PL-GP;2018;2;
133125;PL-GP;2018;2;
133128;PL-GP;2018;2;
133129;PL-GP;2018;2;
133130;PL-GP;2018;2;
133131;PL-GP;2018;2;
133134;PL-GP;2018;2;
133136;PL-GP;2018;2;
133137;PL-GP;2018;2;
133140;PL-GP;2018;2;
133142;PL-GP;2018;2;
133143;PL-GP;2018;2;
133144;PL-GP;2018;2;
133146;PL-GP;2018;2;
133148;PL-GP;2018;2;
133149;PL-GP;2018;2;
133151;PL-GP;2018;2;
133152;PL-GP;2018;2;
133154;PL-GP;2018;2;
133157;PL-GP;2018;2;
133160;PL-GP;2018;2;
133164;PL-GP;2018;2;
133165;PL-GP;2018;2;
133167;PL-GP;2018;2;
133171;PL-GP;2018;2;
133173;PL-GP;2018;2;
133181;PL-GP;2018;2;
133184;PL-GP;2018;2;
133186;PL-GP;2018;2;
133189;PL-GP;2018;2;
133196;PL-GP;2018;2;
133206;PL-GP;2018;2;
133212;PL-GP;2018;2;
133213;PL-GP;2018;2;
133214;PL-GP;2018;2;
133215;PL-GP;2018;2;
133216;PL-GP;2018;2;
133217;PL-GP;2018;2;
133218;PL-GP;2018;2;
133219;PL-GP;2018;2;
133221;PL-GP;2018;2;
133222;PL-GP;2018;2;
133224;PL-GP;2018;2;
133227;PL-GP;2018;2;
133228;PL-GP;2018;2;
133229;PL-GP;2018;2;
133230;PL-GP;2018;2;
133231;PL-GP;2018;2;
133233;PL-GP;2018;2;
133235;PL-GP;2018;2;
133237;PL-GP;2018;2;
133238;PL-GP;2018;2;
133239;PL-GP;2018;2;
133240;PL-GP;2018;2;
133241;PL-GP;2018;2;
133242;PL-GP;2018;2;
133243;PL-GP;2018;2;
133244;PL-GP;2018;2;
133245;PL-GP;2018;2;
133246;PL-GP;2018;2;
133247;PL-GP;2018;2;
133249;PL-GP;2018;2;
133251;PL-GP;2018;2;
133252;PL-GP;2018;2;
133253;PL-GP;2018;2;
133254;PL-GP;2018;2;
133255;PL-GP;2018;2;
133257;PL-GP;2018;2;
133258;PL-GP;2018;2;
133259;PL-GP;2018;2;
133260;PL-GP;2018;2;
133261;PL-GP;2018;2;
133263;PL-GP;2018;2;
133264;PL-GP;2018;2;
133265;PL-GP;2018;2;
133267;PL-GP;2018;2;
133268;PL-GP;2018;2;
133269;PL-GP;2018;2;
133271;PL-GP;2018;2;
133272;PL-GP;2018;2;
133273;PL-GP;2018;2;
133275;PL-GP;2018;2;
133276;PL-GP;2018;2;
133277;PL-GP;2018;2;
133279;PL-GP;2018;2;
133280;PL-GP;2018;2;
133281;PL-GP;2018;2;
133282;PL-GP;2018;2;
133285;PL-GP;2018;2;
133286;PL-GP;2018;2;
133289;PL-GP;2018;2;
133290;PL-GP;2018;2;
133348;PL-GP;2018;2;
133349;PL-GP;2018;2;
133350;PL-GP;2018;2;
133354;PL-GP;2018;2;
133355;PL-GP;2018;2;
133357;PL-GP;2018;2;
133359;PL-GP;2018;2;
133361;PL-GP;2018;2;
133363;PL-GP;2018;2;
133365;PL-GP;2018;2;
133366;PL-GP;2018;2;
133367;PL-GP;2018;2;
133368;PL-GP;2018;2;
133371;PL-GP;2018;2;
133372;PL-GP;2018;2;
133375;PL-GP;2018;2;
133377;PL-GP;2018;2;
133378;PL-GP;2018;2;
133382;PL-GP;2018;2;
133383;PL-GP;2018;2;
133385;PL-GP;2018;2;
133386;PL-GP;2018;2;
133388;PL-GP;2018;2;
133389;PL-GP;2018;2;
133390;PL-GP;2018;2;
133392;PL-GP;2018;2;
133393;PL-GP;2018;2;
133394;PL-GP;2018;2;
133395;PL-GP;2018;2;
133396;PL-GP;2018;2;
133399;PL-GP;2018;2;
133400;PL-GP;2018;2;
133402;PL-GP;2018;2;
133406;PL-GP;2018;2;
133408;PL-GP;2018;2;
133409;PL-GP;2018;2;
133425;PL-GP;2018;2;
133426;PL-GP;2018;2;
133428;PL-GP;2018;2;
133479;PL-GP;2018;2;
133481;PL-GP;2018;2;
133482;PL-GP;2018;2;
133485;PL-GP;2018;2;
133488;PL-GP;2018;2;
133491;PL-GP;2018;2;
133492;PL-GP;2018;2;
133493;PL-GP;2018;2;
133495;PL-GP;2018;2;
133498;PL-GP;2018;2;
133499;PL-GP;2018;2;
133500;PL-GP;2018;2;
133502;PL-GP;2018;2;
133503;PL-GP;2018;2;
133504;PL-GP;2018;2;
133506;PL-GP;2018;2;
133507;PL-GP;2018;2;
133510;PL-GP;2018;2;
26159;PL-GS;2018;2;
43319;PL-GS;2018;2;
43685;PL-GS;2018;2;
46057;PL-GS;2018;2;
46832;PL-GS;2018;2;
49608;PL-GS;2018;2;
50311;PL-GS;2018;2;
50824;PL-GS;2018;2;
51435;PL-GS;2018;2;
52309;PL-GS;2018;2;
52393;PL-GS;2018;2;
52405;PL-GS;2018;2;
52504;PL-GS;2018;2;
52634;PL-GS;2018;2;
55284;PL-GS;2018;2;
56926;PL-GS;2018;2;
57486;PL-GS;2018;2;
57494;PL-GS;2018;2;
57583;PL-GS;2018;2;
57678;PL-GS;2018;2;
60533;PL-GS;2018;2;
60846;PL-GS;2018;2;
62389;PL-GS;2018;2;
63934;PL-GS;2018;2;
67384;PL-GS;2018;2;
72097;PL-GS;2018;2;
72133;PL-GS;2018;2;
72147;PL-GS;2018;2;
72186;PL-GS;2018;2;
72611;PL-GS;2018;2;
73024;PL-GS;2018;2;
75106;PL-GS;2018;2;
75557;PL-GS;2018;2;
76991;PL-GS;2018;2;
78494;PL-GS;2018;2;
81744;PL-GS;2018;2;
81773;PL-GS;2018;2;
81946;PL-GS;2018;2;
81951;PL-GS;2018;2;
84099;PL-GS;2018;2;
87922;PL-GS;2018;2;
89236;PL-GS;2018;2;
89800;PL-GS;2018;2;
94949;PL-GS;2018;2;
96309;PL-GS;2018;2;
96328;PL-GS;2018;2;
96345;PL-GS;2018;2;
96356;PL-GS;2018;2;
96397;PL-GS;2018;2;
96585;PL-GS;2018;2;
96702;PL-GS;2018;2;
96842;PL-GS;2018;2;
97407;PL-GS;2018;2;
101307;PL-GS;2018;2;
102786;PL-GS;2018;2;
102790;PL-GS;2018;2;
102887;PL-GS;2018;2;
110483;PL-GS;2018;2;
127091;PL-GS;2018;2;
127203;PL-GS;2018;2;
133020;PL-GS;2018;2;
133021;PL-GS;2018;2;
133022;PL-GS;2018;2;
133023;PL-GS;2018;2;
133024;PL-GS;2018;2;
133025;PL-GS;2018;2;
133026;PL-GS;2018;2;
133027;PL-GS;2018;2;
133030;PL-GS;2018;2;
133031;PL-GS;2018;2;
133032;PL-GS;2018;2;
133033;PL-GS;2018;2;
133034;PL-GS;2018;2;
133036;PL-GS;2018;2;
133037;PL-GS;2018;2;
133038;PL-GS;2018;2;
133039;PL-GS;2018;2;
133044;PL-GS;2018;2;
133045;PL-GS;2018;2;
133047;PL-GS;2018;2;
133048;PL-GS;2018;2;
133051;PL-GS;2018;2;
133052;PL-GS;2018;2;
133053;PL-GS;2018;2;
133055;PL-GS;2018;2;
133056;PL-GS;2018;2;
133058;PL-GS;2018;2;
133060;PL-GS;2018;2;
133061;PL-GS;2018;2;
133063;PL-GS;2018;2;
133064;PL-GS;2018;2;
133066;PL-GS;2018;2;
133067;PL-GS;2018;2;
133069;PL-GS;2018;2;
133070;PL-GS;2018;2;
133071;PL-GS;2018;2;
133072;PL-GS;2018;2;
133073;PL-GS;2018;2;
133074;PL-GS;2018;2;
133076;PL-GS;2018;2;
133077;PL-GS;2018;2;
133078;PL-GS;2018;2;
133080;PL-GS;2018;2;
133081;PL-GS;2018;2;
133145;PL-GS;2018;2;
133147;PL-GS;2018;2;
133150;PL-GS;2018;2;
133153;PL-GS;2018;2;
133155;PL-GS;2018;2;
133156;PL-GS;2018;2;
133158;PL-GS;2018;2;
133161;PL-GS;2018;2;
133163;PL-GS;2018;2;
133172;PL-GS;2018;2;
133175;PL-GS;2018;2;
133178;PL-GS;2018;2;
133180;PL-GS;2018;2;
133183;PL-GS;2018;2;
133185;PL-GS;2018;2;
133187;PL-GS;2018;2;
133190;PL-GS;2018;2;
133191;PL-GS;2018;2;
133193;PL-GS;2018;2;
133194;PL-GS;2018;2;
133198;PL-GS;2018;2;
133201;PL-GS;2018;2;
133204;PL-GS;2018;2;
