TIPO_TRABALHO;COD_CURSO;QUANTIDADE;ANO
Dissertação;FE06-FP;1;2021
Dissertação;FT05;1;2021
Dissertação;IE03;1;2021
Dissertação;IE03-L;1;2021
Dissertação;PL-ÉTICA2;1;2021
Dissertação;PPG-ANS-D;1;2021
Dissertação;PPG-ANS-M;36;2021
Dissertação;PPG-ATR-M;29;2021
Dissertação;PPG-BIOT-M;39;2021
Dissertação;PPG-CA-M;30;2021
Dissertação;PPG-CAN-M;26;2021
Dissertação;PPG-CARP-M;21;2021
Dissertação;PPG-CASA-D;1;2021
Dissertação;PPG-CASA-M;51;2021
Dissertação;PPG-CEM-M;75;2021
Dissertação;PPG-CFAR-M;35;2021
Dissertação;PPG-CIFA-M;45;2021
Dissertação;PPG-CIR-M;32;2021
Dissertação;PPG-CIS-M;21;2021
Dissertação;PPG-COM-M;31;2021
Dissertação;PPG-CPT-M;13;2021
Dissertação;PPG-CTRA-M;29;2021
Dissertação;PPG-DES-M;20;2021
Dissertação;PPG-DIB-M;4;2021
Dissertação;PPG-DIR-M;15;2021
Dissertação;PPG-ECAM-M;22;2021
Dissertação;PPG-ECH-M;49;2021
Dissertação;PPG-ECIM;75;2021
Dissertação;PPG-EDU-D;3;2021
Dissertação;PPG-EDU-M;75;2021
Dissertação;PPG-ENC-M;36;2021
Dissertação;PPG-ENE-M;47;2021
Dissertação;PPG-ENF-M;28;2021
Dissertação;PPG-ENF-MP;10;2021
Dissertação;PPG-ENP-M;47;2021
Dissertação;PPG-ERA-M;3;2021
Dissertação;PPG-FILO-M;10;2021
Dissertação;PPG-FIS-M;16;2021
Dissertação;PPG-GEOC-M;12;2021
Dissertação;PPG-GEO-M;73;2021
Dissertação;PPG-HIC-M;9;2021
Dissertação;PPG-HIP-M;12;2021
Dissertação;PPG-HIS-M;8;2021
Dissertação;PPG-HIT-M;11;2021
Dissertação;PPG-IMU-D;1;2021
Dissertação;PPG-IMU-M;25;2021
Dissertação;PPG-INF-D;2;2021
Dissertação;PPG-INF-M;95;2021
Dissertação;PPG-LET-M;104;2021
Dissertação;PPG-MAT-M;21;2021
Dissertação;PPG-MAT-MP;29;2021
Dissertação;PPG-MES-M;1;2021
Dissertação;PPG-MGE-M;1;2021
Dissertação;PPG-ODO-M;35;2021
Dissertação;PPG-PAT-M;2;2021
Dissertação;PPG-PPS-M;1;2021
Dissertação;PPG-PSIC-M;56;2021
Dissertação;PPG-QUI-D;2;2021
Dissertação;PPG-QUI-M;54;2021
Dissertação;PPG-SCA-M;78;2021
Dissertação;PPG-SEA-M;24;2021
Dissertação;PPG-SES-M;47;2021
Dissertação;PPG-SOC-M;14;2021
Dissertação;PPG-ZOO-M;24;2021
Dissertação;PROFNIT-MP;9;2021
TCC;FE06-FP;3;2021
TCC;FS01;1;2021
TCC;FT01;13;2021
TCC;FT02-E;4;2021
TCC;FT02-ET;2;2021
TCC;FT02-T;6;2021
TCC;FT05;5;2021
TCC;FT07;1;2021
TCC;FT08;1;2021
TCC;FT09;4;2021
TCC;FT10;14;2021
TCC;FT11;2;2021
TCC;IA01;13;2021
TCC;IA02;1;2021
TCC;IA03;3;2021
TCC;IA04;12;2021
TCC;IB01-B;1;2021
TCC;IB16;1;2021
TCC;IH01;5;2021
TCC;IH12;6;2021
TCC;IH14;2;2021
TCC;IH25;1;2021
TCC;IH39;3;2021
TCC;IN01;20;2021
TCC;IN02;18;2021
TCC;IN03;5;2021
TCC;IN05;15;2021
TCC;IN06;11;2021
TCC;IN07;8;2021
TCC;IP02;2;2021
TCC;IP03;5;2021
TCC;IP04;2;2021
TCC;IS01;3;2021
TCC;IS03;8;2021
TCC;IS04;4;2021
TCC;IS05;1;2021
TCC;IS06;9;2021
TCC;IT01;4;2021
TCC;IT02;15;2021
TCC;IT04;2;2021
TCC;IT05;9;2021
TCC;IT06;9;2021
TCC;IT16;6;2021
TCC;IT18;6;2021
TCC;PPG-CA-M;1;2021
TCC;PPG-CIFA-M;1;2021
TCC;PPG-CIR-M;1;2021
TCC;PPG-ECIM;1;2021
TCC;PPG-ENE-M;1;2021
Tese;IS02;1;2021
Tese;PPG-ANS-D;22;2021
Tese;PPG-ATR-D;30;2021
Tese;PPG-ATR-M;1;2021
Tese;PPG-BIO-D;10;2021
Tese;PPG-BIOT-D;34;2021
Tese;PPG-CARP-D;7;2021
Tese;PPG-CASA-D;28;2021
Tese;PPG-CPT-D;10;2021
Tese;PPG-EDA-D;1;2021
Tese;PPG-EDU-D;41;2021
Tese;PPG-ENE-D;1;2021
Tese;PPG-FIS-D;6;2021
Tese;PPG-IFAR-D;8;2021
Tese;PPG-IMU-D;14;2021
Tese;PPG-INF-D;37;2021
Tese;PPG-INF-M;1;2021
Tese;PPG-MAT-D;6;2021
Tese;PPG-QUI-D;34;2021
Tese;PPG-SCA-D;73;2021
Tese;PPG-ZOO-D;4;2021
