COD_CURSO,CURSO,NUM_VERSAO,DESCR_ESTRUTURA,PERIODO_IDEAL,COD_DISCIPLINA,NOME_DISCIPLNA,CREDITOS,CH_TEORICA,CH_PRATICA,CH_TOTAL
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,EEM010,"CONTEXTO HISTÓRICO, POLÍTICO E SOCIAL DA ENFERMAGEM",4,60,0,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,EMC029,SUPORTE BÁSICO DE VIDA PARA O ENFERMEIRO,3,30,30,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,EMS055,VIGILÂNCIA EM SAÚDE,3,30,30,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,ENADE01,ENADE - INGRESSANTE,,,,
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,IBM004,FUNDAMENTOS DE ANATOMIA,5,60,30,90
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,IBM057,BIOLOGIA CELULAR,2,15,30,45
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,IEE006,BIOESTATISTICA,4,60,0,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,IHS327,SAUDE E SOCIEDADE,4,60,0,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,1,IHS409,ANTROPOLOGIA DA SAÚDE,2,30,0,30
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,2,EEM011,SAÚDE COLETIVA I - A,4,60,0,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,2,EEM012,METODOLOGIA DA PESQUISA EM SAÚDE,3,45,0,45
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,2,EEM029,EPIDEMIOLOGIA - A,4,60,0,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,2,FEP001,PSICOLOGIA GERAL I,4,60,0,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,2,IBF008,FISIOLOGIA,6,90,0,90
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,2,IBF022,BIOQUIMICA,5,60,30,90
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,2,IBG004,GENÉTICA,3,30,30,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,2,IBM058,HISTOLOGIA - A,2,15,30,45
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,3,EEM014,PROCESSOS EDUCACIONAIS EM SAÚDE,3,30,30,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,3,EEM015,SAÚDE DAS POPULAÇÕES INDÍGENAS,4,60,0,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,3,FSL003,PROCESSOS PATOLOGICOS GERAIS,3,30,30,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,3,IBF016,FARMACOLOGIA,5,60,30,90
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,3,IBM047,BIOLOGIA DO DESENVOLVIMENTO,3,30,30,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,3,IBP016,PARASITOLOGIA BASICA,3,30,30,60
EM01,Enfermagem,2019/1,OBRIGATÓRIAS,3,IBP019,MICROBIOLOGIA,3,30,30,60
