NIVEL,COD_CURSO,NOME_CURSO,TURNO,QTDE_MATRICULADO
Ensino Superior - Graduação Regular,EM01,Enfermagem,Diurno,74
Ensino Superior - Graduação Regular,FA01,Administração,Matutino,131
Ensino Superior - Graduação Regular,FA02,Administração,Noturno,121
Ensino Superior - Graduação Regular,FA03,Ciências Contábeis,Vespertino,67
Ensino Superior - Graduação Regular,FA04,Ciências Contábeis,Noturno,68
Ensino Superior - Graduação Regular,FA05,Ciências Econômicas,Matutino,68
Ensino Superior - Graduação Regular,FA06,Ciências Econômicas,Noturno,65
Ensino Superior - Graduação Regular,FD01,Direito,Diurno,68
Ensino Superior - Graduação Regular,FD02,Direito,Noturno,70
Ensino Superior - Graduação Regular,FE02,Pedagogia,Matutino,96
Ensino Superior - Graduação Regular,FE03,Pedagogia,Vespertino,91
Ensino Superior - Graduação Regular,FE06-FP,Psicologia - Formação do Psicólogo,Noturno,66
Ensino Superior - Graduação Regular,FG01,Agronomia,Diurno,52
Ensino Superior - Graduação Regular,FG02,Engenharia Florestal,Diurno,46
Ensino Superior - Graduação Regular,FG03,Engenharia de Pesca,Diurno,47
Ensino Superior - Graduação Regular,FG04,Zootecnia,Diurno,50
Ensino Superior - Graduação Regular,FG05,Engenharia de Alimentos,Diurno,50
Ensino Superior - Graduação Regular,FS01,Farmácia,Diurno,52
Ensino Superior - Graduação Regular,FS02,Medicina,Diurno,123
Ensino Superior - Graduação Regular,FS03,Odontologia,Diurno,45
Ensino Superior - Graduação Regular,FT01,Engenharia Civil,Diurno,58
Ensino Superior - Graduação Regular,FT02-E,Engenharia Elétrica - Eletrônica,Diurno,25
Ensino Superior - Graduação Regular,FT02-ET,Engenharia Elétrica - Eletrotécnica,Diurno,24
Ensino Superior - Graduação Regular,FT02-T,Engenharia Elétrica - Telecomunicações,Diurno,22
Ensino Superior - Graduação Regular,FT05,Engenharia da Computação,Diurno,61
Ensino Superior - Graduação Regular,FT06,Engenharia de Produção,Vespertino/Noturno,55
Ensino Superior - Graduação Regular,FT07,Design,Diurno,50
Ensino Superior - Graduação Regular,FT08,Engenharia de Materiais,Diurno,50
Ensino Superior - Graduação Regular,FT09,Engenharia Mecânica,Diurno,51
Ensino Superior - Graduação Regular,FT10,Arquitetura e Urbanismo,Vespertino/Noturno,51
Ensino Superior - Graduação Regular,FT11,Engenharia de Petróleo e Gás,Vespertino/Noturno,54
Ensino Superior - Graduação Regular,FT12,Engenharia Química,Vespertino/Noturno,55
Ensino Superior - Graduação Regular,IB01-B,Ciências Biológicas - Bacharelado,Diurno,27
Ensino Superior - Graduação Regular,IB01-L,Ciências Biológicas - Licenciatura,Diurno,25
Ensino Superior - Graduação Regular,IB02,Educação Física,Diurno,55
Ensino Superior - Graduação Regular,IB05,Ciências Naturais,Diurno,44
Ensino Superior - Graduação Regular,IB06,Educação Física - Promoção em Saúde e Lazer,Vespertino,30
Ensino Superior - Graduação Regular,IB07,Educação Física - Treinamento Esportivo,Vespertino,31
Ensino Superior - Graduação Regular,IB08,Fisioterapia,Integral (Matutino e Vespertino),46
Ensino Superior - Graduação Regular,IB09,Biotecnologia,Noturno,52
Ensino Superior - Graduação Regular,IB14,Ciências Naturais,Noturno,44
Ensino Superior - Graduação Regular,IB15,Ciências Biológicas,Noturno,33
Ensino Superior - Graduação Regular,IB16,Educação Física,Noturno,52
Ensino Superior - Graduação Regular,IE01,Estatística,Vespertino/Noturno,53
Ensino Superior - Graduação Regular,IE02,Geologia,Diurno,39
Ensino Superior - Graduação Regular,IE03-L,Matemática - Licenciatura,Matutino,65
Ensino Superior - Graduação Regular,IE07,Matemática - Licenciatura,Noturno,67
Ensino Superior - Graduação Regular,IE08,Ciência da Computação,Diurno,64
Ensino Superior - Graduação Regular,IE09,Química - Licenciatura,Noturno,75
Ensino Superior - Graduação Regular,IE10,Física - Licenciatura,Noturno,64
Ensino Superior - Graduação Regular,IE11,Química - Bacharelado,Diurno,38
Ensino Superior - Graduação Regular,IE13,Física - Licenciatura,Diurno,61
Ensino Superior - Graduação Regular,IE14,Física - Bacharelado,Diurno,42
Ensino Superior - Graduação Regular,IE16,Matemática Aplicada,Diurno,7
Ensino Superior - Graduação Regular,IE17,Engenharia de Software,Vespertino/Noturno,54
Ensino Superior - Graduação Regular,IE18,Matemática Pura e Aplicada,Diurno,26
Ensino Superior - Graduação Regular,IH01,Biblioteconomia,Matutino,56
Ensino Superior - Graduação Regular,IH06,Serviço Social,Vespertino,58
Ensino Superior - Graduação Regular,IH07-B,Geografia - Bacharelado,Matutino,25
Ensino Superior - Graduação Regular,IH07-L,Geografia - Licenciatura,Matutino,48
Ensino Superior - Graduação Regular,IH08,História,Matutino,60
Ensino Superior - Graduação Regular,IH10,Ciências Sociais - Bacharelado,Matutino,64
Ensino Superior - Graduação Regular,IH12,Comunicação Social - Relações Públicas,Diurno,1
Ensino Superior - Graduação Regular,IH13,Letras - Língua e Literatura Portuguesa,Noturno,70
Ensino Superior - Graduação Regular,IH14,Filosofia,Vespertino,71
Ensino Superior - Graduação Regular,IH15,Letras - Língua e Literatura Inglesa,Vespertino,54
Ensino Superior - Graduação Regular,IH16,Letras - Língua e Literatura Francesa,Vespertino,25
Ensino Superior - Graduação Regular,IH20,História,Noturno,60
Ensino Superior - Graduação Regular,IH21,Letras - Língua e Literatura Espanhola,Matutino,30
Ensino Superior - Graduação Regular,IH22,Geografia - Licenciatura,Noturno,61
Ensino Superior - Graduação Regular,IH23,Letras - Língua e Literatura Portuguesa,Vespertino,65
Ensino Superior - Graduação Regular,IH25,Arquivologia,Noturno,48
Ensino Superior - Graduação Regular,IH26,Serviço Social,Noturno,43
Ensino Superior - Graduação Regular,IH27,Comunicação Social - Jornalismo,Diurno,41
Ensino Superior - Graduação Regular,IH28,Música,Noturno,59
Ensino Superior - Graduação Regular,IH29,Letras - Língua e Literatura Japonesa,Noturno,33
Ensino Superior - Graduação Regular,IH30,Artes Visuais,Matutino,32
Ensino Superior - Graduação Regular,IH31,Artes Visuais,Noturno,26
Ensino Superior - Graduação Regular,IH32,Letras - Língua Brasileira de Sinais/LIBRAS,Vespertino,31
Ensino Superior-Grad.Regular-Benjamin Constant,IN01,Administração,Diurno,50
Ensino Superior-Grad.Regular-Benjamin Constant,IN02,Pedagogia,Diurno,49
Ensino Superior-Grad.Regular-Benjamin Constant,IN03,Antropologia,Diurno,29
Ensino Superior-Grad.Regular-Benjamin Constant,IN05,Letras - Língua e Literatura Portuguesa e Língua e Literatura Espanhola,Diurno,50
Ensino Superior-Grad.Regular-Benjamin Constant,IN06,Ciências - Biologia e Química,Diurno,50
Ensino Superior-Grad.Regular-Benjamin Constant,IN07,Ciências Agrárias e do Ambiente,Diurno,37
