TIPO,COD_CURSO,CURSO,QUANTIDADE
Dissertação,FE06-FP,Psicologia - Formação do Psicólogo,1
Dissertação,FT05,Engenharia da Computação,1
Dissertação,IE03,Matemática,1
Dissertação,IE03-L,Matemática - Licenciatura,1
Dissertação,PL-ÉTICA2,Especialização em Ética,1
Dissertação,PPG-ANS-D,Doutorado em Antropologia Social,1
Dissertação,PPG-ANS-M,Mestrado em Antropologia Social,36
Dissertação,PPG-ATR-M,Mestrado em Agronomia Tropical,29
Dissertação,PPG-BIOT-M,Mestrado em Biotecnologia,39
Dissertação,PPG-CA-M,Mestrado em Ciências Ambientais,30
Dissertação,PPG-CAN-M,Mestrado em Ciência Animal,26
Dissertação,PPG-CARP-M,Mestrado em Ciência Animal e Recursos Pesqueiros,21
Dissertação,PPG-CASA-D,Doutorado em Ciências do Ambiente e Sustentabilidade na Amazônia,1
Dissertação,PPG-CASA-M,Mestrado em Ciências do Ambiente e Sustentabilidade na Amazônia,51
Dissertação,PPG-CEM-M,Mestrado em Ciência e Engenharia de Materiais,75
Dissertação,PPG-CFAR-M,Mestrado em Ciências Farmacêuticas,35
Dissertação,PPG-CIFA-M,Mestrado em Ciências Florestais e Ambientais,45
Dissertação,PPG-CIR-M,Mestrado Profissional em Cirurgia,32
Dissertação,PPG-CIS-M,Mestrado em Ciências da Saúde,21
Dissertação,PPG-COM-M,Mestrado em Ciência da Comunicação,31
Dissertação,PPG-CPT-M,Mestrado em Ciências Pesqueiras nos Trópicos,13
Dissertação,PPG-CTRA-M,Mestrado em Ciência e Tecnologia para Recursos Amazônicos,29
Dissertação,PPG-DES-M,Mestrado em Design,20
Dissertação,PPG-DIB-M,Mestrado em Diversidade Biológica,4
Dissertação,PPG-DIR-M,Mestrado em Direito,15
Dissertação,PPG-ECAM-M,Mestrado Profissional em Rede Nacional para o Ensino de Ciências Ambientais,22
Dissertação,PPG-ECH-M,Mestrado em Ensino de Ciências e Humanidades,49
Dissertação,PPG-ECIM,Mestrado em Ensino de Ciências e Matemática,75
Dissertação,PPG-EDU-D,Doutorado em Educação,3
Dissertação,PPG-EDU-M,Mestrado em Educação,75
Dissertação,PPG-ENC-M,Mestrado em Engenharia Civil,36
Dissertação,PPG-ENE-M,Mestrado em Engenharia Elétrica,47
Dissertação,PPG-ENF-M,Mestrado em Enfermagem,28
Dissertação,PPG-ENF-MP,Mestrado em Enfermagem no Contexto Amazônico,10
Dissertação,PPG-ENP-M,Mestrado em Engenharia de Produção,47
